ACS,K,D,A,DDA,HS,KAST,FK,FD,MK,WIN
118,8,15,3,-68,0.24,0.70,1,0,0,0
314,23,10,5,105,0.49,0.84,2,0,4,1
298,21,13,1,53,0.23,0.74,1,3,3,1
218,16,12,2,23,0.36,0.63,2,3,2,1
167,10,12,6,12,0.32,0.63,2,4,0,1
124,9,9,3,-16,0.24,0.74,0,2,0,1
250,16,18,0,-9,0.18,0.74,5,2,1,0
230,15,18,4,-28,0.28,0.68,3,2,1,0
186,12,14,4,-1,0.28,0.53,2,0,0,0
133,7,15,4,-56,0.36,0.63,2,7,0,0
86,8,14,2,-82,0.04,0.63,2,1,0,0
298,22,17,6,63,0.23,0.68,7,5,3,1
229,16,22,13,-17,0.26,0.86,3,0,1,1
221,19,16,3,3,0.19,0.68,2,1,2,1
202,17,11,3,36,0.14,0.82,2,0,1,1
164,12,15,10,-47,0.19,0.73,1,1,1,1
253,18,19,8,14,0.31,0.77,2,2,1,0
241,19,17,3,-7,0.26,0.77,2,2,1,0
203,15,17,4,-19,0.34,0.64,0,1,0,0
179,15,14,3,28,0.33,0.64,1,0,1,0
160,8,20,2,-54,0.33,0.41,3,2,0,0
271,17,16,6,19,0.36,0.67,0,1,1,0
256,16,17,6,-11,0.41,0.72,1,1,1,0
232,16,14,1,-14,0.26,0.61,1,3,3,0
175,10,15,4,-28,0.27,0.67,2,2,0,0
105,6,18,5,-123,0.25,0.50,4,3,0,0
310,23,7,4,112,0.28,0.83,0,3,3,1
303,18,12,10,83,0.14,0.83,5,2,2,1
275,16,20,10,-13,0.29,0.94,3,1,0,1
188,12,15,5,-29,0.25,0.72,1,2,1,1
175,11,11,3,3,0.26,0.72,1,1,1,1
327,27,15,6,83,0.28,0.83,1,1,3,1
268,22,20,2,14,0.22,0.71,10,3,2,1
175,16,17,2,-9,0.20,0.54,0,7,1,1
169,16,14,3,-4,0.19,0.75,0,1,1,1
130,10,16,8,-35,0.12,0.71,1,1,0,1
249,21,15,2,32,0.17,0.71,3,3,1,0
244,21,18,5,31,0.20,0.71,3,2,1,0
218,17,19,4,-2,0.33,0.58,4,5,1,0
166,12,20,7,-51,0.16,0.67,2,1,0,0
131,11,19,5,-59,0.12,0.46,1,1,0,0
284,24,18,8,42,0.16,0.83,3,0,2,0
264,23,18,8,28,0.15,0.79,5,2,1,0
190,17,21,8,-32,0.12,0.67,3,1,1,0
148,12,16,11,-23,0.17,0.67,0,2,1,0
146,11,21,4,-56,0.24,0.54,5,3,0,0
360,31,15,5,133,0.17,0.71,0,5,5,1
216,17,17,5,18,0.40,0.75,2,2,3,1
188,15,17,11,-11,0.32,0.67,2,4,1,1
182,16,16,8,-29,0.13,0.79,3,1,1,1
171,15,20,9,-70,0.23,0.67,1,4,1,1
248,19,18,5,10,0.18,0.68,1,2,2,0
227,16,19,0,-3,0.30,0.59,2,3,2,0
217,16,17,2,-4,0.34,0.55,1,3,1,0
140,11,19,2,-34,0.27,0.59,2,4,0,0
138,10,18,2,-64,0.15,0.73,2,1,0,0
266,20,21,5,0,0.27,0.68,4,3,0,1
245,19,13,5,49,0.20,0.64,3,4,2,1
243,22,12,3,43,0.19,0.82,1,0,1,1
